QKEY,INTERVIEW_START_W154,INTERVIEW_END_W154,DEVICE_TYPE_W154,SVYMODE_W154,LANG_W154,SAMPSOURCE_W154,FORM_W154,X_GENDER_W154,FEELMOD_a_W154,FEELMOD_b_W154,CLOSEFRI_W154,GENFRIONE_W154,GENFRIMANY_W154,COMMFRI_a_W154,COMMFRI_b_W154,COMMFRI_c_W154,COMMFRI_d_W154,POSITIONW_a_W154,POSITIONW_b_W154,POSITIONW_c_W154,POSITIONW_d_W154,POSITIONM_a_W154,POSITIONM_b_W154,POSITIONM_c_W154,POSITIONM_d_W154,MENONLYWB_W154,WOMENONLYWB_W154,MENONLYSOC_W154,WOMENONLYSOC_W154,EMOSUPPFAM_a_W154,EMOSUPPFAM_b_W154,EMOSUPPFAM_c_W154,EMOSUPPFAM_d_W154,EMOSUPPOTH_a_W154,EMOSUPPOTH_b_W154,EMOSUPPOTH_c_W154,DIFF1_a_W154,DIFF1_b_W154,DIFF1_c_W154,DIFF1_d_W154,DIFF1_e_W154,DIFF2_a_W154,DIFF2_b_W154,DIFF2_c_W154,DIFF2_d_W154,DIFF2_e_W154,MASCSCALE_W154,FEMSCALE_W154,MASCFEM_W154,LEARNMAN_a_W154,LEARNMAN_b_W154,LEARNMAN_c_W154,LEARNMAN_d_W154,LEARNMAN_e_W154,LEARNMAN_f_W154,LEARNMAN_g_W154,LEARNMAN_h_W154,LEARNMAN_i_W154,LEARNWOMAN_a_W154,LEARNWOMAN_b_W154,LEARNWOMAN_c_W154,LEARNWOMAN_d_W154,LEARNWOMAN_e_W154,LEARNWOMAN_f_W154,LEARNWOMAN_g_W154,LEARNWOMAN_h_W154,LEARNWOMAN_i_W154,ROLES1_W154,ROLES2_W154,CHANGE1_a_W154,CHANGE1_b_W154,CHANGE1_c_W154,CHANGE1_d_W154,CHANGE1_e_W154,CHANGE1_f_W154,WHOBETTER_a_W154,WHOBETTER_b_W154,WHOBETTER_c_W154,WHOBETTER_d_W154,WHOBETTER_e_W154,WHOBETTER_f_W154,BOYS_a_W154,BOYS_b_W154,BOYS_c_W154,BOYS_d_W154,GIRLS_a_W154,GIRLS_b_W154,GIRLS_c_W154,GIRLS_d_W154,CHANGEMEN_a_W154,CHANGEMEN_b_W154,CHANGEMEN_c_W154,CHANGEMEN_d_W154,CHANGEMEN_e_W154,CHANGEMEN_f_W154,CHANGEMEN_g_W154,CHANGEWOM_a_W154,CHANGEWOM_b_W154,CHANGEWOM_c_W154,CHANGEWOM_d_W154,CHANGEWOM_e_W154,CHANGEWOM_f_W154,CHANGEWOM_g_W154,DEIAFFECT_a_W154,DEIAFFECT_b_W154,DEIAFFECT_c_W154,DEIAFFECT_d_W154,DEIAFFECT_e_W154,DEIAFFECT_f_W154,DEIAFFECT_g_W154,DEIAFFECT_h_W154,MASCPOSNEG_W154,MASCPOSGOODBAD_W154,MASCNEGGOODBAD_W154,VALUEMEN_a_W154,VALUEMEN_b_W154,VALUEMEN_c_W154,VALUEMEN_d_W154,VALUEMEN_e_W154,VALUEMEN_f_W154,VALUEMEN_g_W154,VALUEMEN_h_W154,MENACCEPT1_a_W154,MENACCEPT1_b_W154,MENACCEPT1_c_W154,MENACCEPT1_d_W154,MENACCEPT1_e_W154,MENACCEPT1_f_W154,MENACCEPT2_a_W154,MENACCEPT2_b_W154,MENACCEPT2_c_W154,MENACCEPT2_d_W154,TRANSGEND2MOD_W154,TRANSGEND11_W154,TRANSGEND12_W154,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_RELIGCAT1,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W154
671060,2024-09-10T18:31:00Z,2024-09-10T22:32:29Z,1,1,9,7,1,1,2,4,2,,3,6,2,2,2,1,1,4,5,4,4,4,4,3,2,,,4,5,5,5,4,4,4,1,1,1,1,1,,,,,,3,4,1,4,4,4,4,3,6,5,3,3,,,,,,,,,,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,2,3,3,,,,,3,3,3,4,3,3,3,2,2,2,2,2,2,2,3,6,6,6,6,6,6,6,3,,,3,99,3,99,3,99,1,3,3,4,3,3,3,3,2,3,2,2,1,2,1,1,1,2,1,2,1,1,5,2,1,1,1,1,6,10,3,2,,2,4,2,6,4,1,2,2,1.1719046211606463
671621,2024-09-04T20:34:09Z,2024-09-04T21:06:09Z,1,1,9,7,2,2,3,3,3,,,,,,,1,1,3,3,2,3,3,3,,,2,1,6,5,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,3,3,0,,,,,,,,,,6,5,3,3,3,3,3,3,3,2,2,1,3,3,1,1,3,1,3,2,3,3,3,2,2,3,2,,,,,2,4,4,3,4,3,3,3,2,3,4,3,3,3,2,2,2,2,2,2,2,2,3,,,2,3,3,2,3,3,3,2,4,4,3,2,3,4,2,3,3,3,2,2,1,1,4,9,1,2,2,1,6,2,4,2,2,4,6,12,3,2,,2,3,3,8,3,2,2,2,0.7328266027809541
672514,2024-09-03T19:02:38Z,2024-09-03T19:13:41Z,1,1,9,7,2,1,3,2,2,,2,4,2,3,2,3,3,3,3,3,3,3,3,,,2,2,1,2,2,3,2,4,1,2,2,2,2,1,2,1,2,1,,2,5,3,1,2,3,2,4,3,2,4,3,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,1,3,,,,,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,4,4,2,2,2,2,2,2,2,,2,2,3,2,2,3,1,3,2,5,4,5,3,5,4,2,2,3,2,2,2,2,2,2,4,3,2,1,2,4,2,1,1,1,1,1,1,1,1,,1,1,1,9,2,2,2,2,1.1632487623840353
673096,2024-09-07T23:12:47Z,2024-09-07T23:33:57Z,3,1,9,7,1,1,5,1,2,,2,2,2,2,2,3,3,2,1,5,4,1,1,2,2,,,1,6,6,1,1,1,1,1,2,1,2,1,,1,,1,,2,5,3,5,6,1,4,5,6,5,5,5,,,,,,,,,,3,3,1,1,1,1,1,1,3,3,3,3,3,3,,,,,2,3,3,3,2,3,3,3,1,3,2,3,3,1,3,2,1,1,3,1,1,1,1,1,3,3,1,2,,2,1,1,2,1,2,3,2,3,5,5,2,3,5,1,2,1,5,2,1,2,1,3,7,2,4,1,3,2,2,1,2,2,1,1,1,1,2,,2,3,1,4,3,3,2,2,1.0024085539096192
673327,2024-09-04T18:07:27Z,2024-09-04T18:56:24Z,3,1,9,7,1,2,3,3,3,,,,,,,2,3,2,3,2,2,3,3,2,2,,,1,6,6,2,3,4,3,2,2,1,2,2,1,1,,1,1,4,2,-2,,,,,,,,,,3,2,1,3,3,4,3,5,2,1,2,1,2,1,1,1,2,1,3,2,3,1,3,,,,,3,3,3,3,2,4,4,4,2,3,2,3,1,2,4,2,2,3,5,5,4,1,4,2,4,3,1,1,,3,3,2,1,2,3,2,3,5,5,4,3,4,5,4,4,5,5,2,1,2,2,3,7,3,4,2,1,6,2,1,1,1,1,1,1,1,1,,1,1,1,4,1,2,1,2,1.3993435479686038
673537,2024-09-10T12:17:26Z,2024-09-10T12:25:29Z,1,1,9,7,1,2,3,3,2,,1,3,1,2,5,3,3,3,3,3,3,3,3,2,1,,,2,6,3,3,2,5,4,2,2,2,2,1,1,1,2,2,,4,2,-2,,,,,,,,,,4,2,2,2,3,5,5,4,2,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,2,3,3,,,,,3,4,4,4,3,3,4,1,1,1,4,3,2,2,3,3,2,2,3,2,2,2,1,3,,2,1,1,2,1,2,1,2,3,3,4,2,3,3,2,2,3,2,1,1,1,1,3,5,2,2,2,1,6,2,1,1,1,1,1,10,3,2,,2,4,1,9,4,2,1,3,1.2176065307847403
673801,2024-09-07T16:50:06Z,2024-09-07T17:07:25Z,1,1,9,7,2,2,5,3,2,,1,2,2,5,5,3,4,99,3,3,4,4,4,,,2,1,4,2,6,2,2,4,2,2,2,2,2,1,2,1,1,2,,4,3,-1,,,,,,,,,,4,6,2,3,6,6,6,4,2,1,1,3,3,1,3,1,3,1,2,3,3,1,1,3,2,3,3,,,,,2,3,4,4,2,3,4,3,1,1,4,4,2,4,3,3,2,2,2,2,3,2,3,,,2,3,1,2,3,2,1,2,5,4,4,3,4,4,3,4,4,3,1,1,1,1,1,2,2,2,2,1,6,2,4,2,2,4,2,12,3,3,99,9,9,1,9,3,2,1,2,1.124787931342476
673888,2024-09-05T01:28:17Z,2024-09-05T01:48:04Z,3,1,9,7,2,1,2,4,2,,2,6,2,3,1,3,3,5,4,3,4,4,4,,,6,6,6,3,3,5,3,5,5,2,2,1,2,1,2,1,,2,,4,3,-1,6,1,4,3,5,4,5,3,3,,,,,,,,,,2,2,1,3,1,1,1,3,3,3,3,3,3,3,,,,,2,2,2,1,2,3,4,4,4,4,3,2,2,2,4,4,2,2,4,2,2,2,2,2,2,2,1,2,,2,1,1,2,1,2,1,2,2,2,2,3,1,2,1,2,2,3,2,2,2,1,3,7,1,2,1,1,6,2,1,1,1,1,6,10,3,3,2,2,3,1,4,3,1,2,2,1.325848706365711
674011,2024-09-07T14:39:40Z,2024-09-07T15:08:34Z,1,1,9,7,1,2,3,2,2,,4,5,3,5,3,3,3,3,3,3,3,3,3,1,1,,,5,5,5,5,3,4,5,2,2,2,2,2,1,1,1,1,1,5,3,-2,,,,,,,,,,4,4,4,3,4,6,1,4,4,3,3,2,2,1,2,2,2,3,3,3,3,1,3,,,,,1,3,3,3,3,3,3,5,2,3,3,3,1,1,4,2,2,3,5,4,1,1,1,1,5,4,1,1,,3,3,2,2,3,2,2,3,5,5,4,3,4,4,2,5,4,2,2,2,2,1,2,3,2,3,2,1,6,2,4,3,5,4,1,1,1,1,,1,1,1,9,1,1,1,2,0.40773117351396865
674682,2024-09-05T07:07:33Z,2024-09-05T07:22:30Z,1,1,9,7,1,1,4,3,1,1,,5,5,4,1,3,4,4,4,4,4,3,4,3,2,,,2,6,5,4,4,5,4,1,2,2,1,1,,1,1,,,2,4,2,5,4,2,3,3,4,5,4,4,,,,,,,,,,2,2,1,1,1,3,1,1,3,3,3,3,3,3,1,2,2,2,,,,,3,4,3,2,2,3,2,3,4,4,2,2,4,2,3,1,2,2,2,2,2,2,3,,,2,3,1,2,1,2,3,2,4,3,4,3,3,4,4,3,5,1,1,2,2,1,2,3,2,2,1,1,6,2,1,2,2,1,6,12,3,2,,2,4,2,9,4,1,2,3,0.29205318623392656
675879,2024-09-07T09:20:19Z,2024-09-07T09:36:56Z,1,1,9,7,1,2,3,2,3,,,,,,,3,4,3,3,3,3,3,4,4,1,,,2,2,5,4,4,5,4,2,2,2,2,1,2,1,2,2,,5,3,-2,,,,,,,,,,2,5,2,2,3,4,2,2,3,2,2,1,1,1,2,1,1,3,1,3,3,1,3,1,2,1,1,,,,,2,2,2,2,5,2,2,2,2,2,4,4,2,4,3,3,1,1,2,2,2,2,1,3,,3,1,1,2,1,2,1,2,5,5,5,4,5,5,2,5,3,5,1,1,1,1,3,6,1,2,2,1,6,1,3,4,3,4,1,1,1,4,2,2,4,1,99,4,2,1,99,0.1605805540237322
676382,2024-09-04T21:57:13Z,2024-09-04T22:32:47Z,1,1,9,7,1,2,4,2,1,1,,5,3,5,3,1,1,3,3,3,3,3,4,2,2,,,2,6,6,2,3,5,5,2,2,1,2,1,1,1,,1,,5,2,-3,,,,,,,,,,2,5,1,4,4,6,1,5,5,3,3,3,2,1,3,1,2,1,3,3,3,3,1,,,,,3,3,3,3,4,5,4,5,4,3,5,3,2,3,5,4,2,5,5,4,2,2,2,2,4,3,2,,2,3,2,2,3,2,1,2,2,5,5,5,4,5,5,3,3,5,4,1,1,2,1,4,8,3,4,2,2,4,2,1,1,1,1,1,1,1,1,,1,1,1,9,1,2,2,2,1.7238513726122118
676590,2024-09-06T14:27:47Z,2024-09-06T14:38:04Z,1,1,9,7,1,1,2,4,3,,,,,,,4,3,2,2,3,2,3,3,4,3,,,6,2,3,5,2,2,4,2,2,1,2,1,2,1,,2,,2,5,3,6,2,4,2,5,3,6,2,1,,,,,,,,,,3,3,1,3,1,3,1,3,1,2,3,3,3,3,,,,,3,3,3,3,5,4,3,4,2,3,4,3,1,2,3,2,2,4,4,3,2,2,2,2,4,2,1,3,,2,1,3,2,1,2,3,2,5,4,3,1,1,3,2,1,4,3,1,1,1,1,3,5,1,2,1,2,3,2,1,1,1,1,6,9,3,2,,2,4,1,1,5,1,2,1,1.3885845093396512
677466,2024-09-04T20:55:36Z,2024-09-04T21:10:07Z,1,1,9,7,1,1,4,2,2,,2,2,2,2,1,3,3,2,2,3,3,2,2,2,2,,,1,6,6,2,2,4,2,2,2,1,2,1,1,1,,2,,3,3,0,1,4,1,1,6,6,5,4,4,,,,,,,,,,2,2,1,1,1,2,1,3,3,3,3,3,3,3,2,2,3,2,,,,,1,3,3,3,1,1,3,1,3,1,3,2,1,1,3,2,1,1,1,1,1,1,1,2,,2,1,1,2,2,2,3,2,1,5,3,2,1,3,1,1,1,1,2,1,2,1,2,3,1,3,1,3,2,2,1,1,1,1,6,12,3,3,2,2,3,1,1,3,2,2,1,1.439109382311371
677513,2024-09-04T19:04:46Z,2024-09-04T19:27:06Z,1,1,9,7,2,1,4,2,2,,3,5,5,5,5,3,3,3,4,3,3,3,4,,,3,3,1,6,6,5,5,5,5,2,2,2,2,2,99,1,1,1,1,3,5,2,3,2,2,5,4,6,2,5,5,,,,,,,,,,3,2,1,3,1,3,1,3,3,3,3,3,3,3,,,,,3,99,3,3,2,3,3,99,2,3,3,3,2,1,99,4,2,2,4,6,4,6,4,6,4,6,3,,,2,3,3,3,2,3,3,2,4,5,4,4,4,5,2,3,99,3,1,2,2,1,2,4,3,4,1,2,3,2,1,1,1,1,1,1,1,1,,1,1,1,1,1,2,2,1,1.0757241092287697
677559,2024-09-04T18:18:27Z,2024-09-04T18:31:51Z,1,1,9,7,2,1,3,3,2,,2,3,3,3,5,3,3,3,3,3,3,3,3,,,3,3,6,6,6,4,3,4,4,2,2,2,2,1,2,1,2,2,,2,4,2,6,3,1,3,3,6,5,4,3,,,,,,,,,,3,3,1,3,1,3,1,1,3,3,3,3,3,3,,,,,2,3,2,2,3,3,3,3,3,4,3,2,4,2,4,2,2,2,3,2,2,2,2,2,2,2,1,3,,2,1,1,2,1,2,1,2,3,4,5,2,3,4,2,3,3,3,2,2,2,1,4,8,2,3,1,3,2,1,1,5,3,1,6,12,3,2,,2,4,1,2,4,2,2,1,0.7624370011935403
678383,2024-09-04T19:40:24Z,2024-09-04T20:00:47Z,3,1,9,7,2,2,5,4,2,,3,1,2,1,2,3,3,3,2,3,3,3,2,,,3,3,2,2,2,3,4,5,5,2,2,2,2,2,2,1,2,2,2,4,3,-1,,,,,,,,,,1,1,1,2,6,6,2,3,2,2,2,1,1,1,1,1,1,1,3,3,3,1,3,1,2,3,3,,,,,3,3,3,3,3,3,3,1,1,3,4,3,1,3,3,3,3,3,3,3,3,3,3,,,3,3,3,3,3,2,3,3,5,5,5,3,4,5,2,3,4,4,1,2,2,1,4,9,2,3,2,3,2,1,1,1,3,1,1,12,3,99,99,9,9,3,1,99,2,2,1,3.1255610336753072
678480,2024-09-04T19:03:18Z,2024-09-04T19:14:14Z,1,1,9,7,2,2,4,2,1,2,,2,1,1,5,2,3,3,4,3,3,3,4,,,2,2,2,2,2,4,3,4,4,2,2,2,2,2,1,2,2,2,2,4,2,-2,,,,,,,,,,3,3,3,2,3,5,4,2,3,3,2,1,1,1,1,1,1,3,3,3,3,1,3,2,2,2,3,,,,,2,1,1,2,1,1,1,2,1,1,1,1,1,1,3,3,1,1,1,1,3,2,1,1,,3,3,3,2,2,2,3,3,4,5,4,3,4,5,1,2,2,3,2,2,2,1,1,2,2,3,2,1,6,2,4,1,1,4,5,4,4,2,,2,3,1,9,3,2,2,3,2.88335713240865
679176,2024-09-12T18:28:33Z,2024-09-12T19:02:17Z,1,1,9,7,2,1,3,3,2,,2,1,1,3,2,2,2,3,4,1,1,5,5,,,2,5,3,3,1,3,3,5,4,2,2,2,2,2,2,1,1,2,1,3,5,2,3,2,3,3,4,3,4,4,4,,,,,,,,,,2,1,2,3,3,2,2,1,1,1,3,3,1,3,,,,,1,1,1,1,5,2,5,3,4,5,3,1,1,1,3,1,1,1,1,6,3,1,5,2,4,2,3,,,2,1,1,2,1,2,1,2,4,4,3,3,3,4,2,5,4,3,2,1,2,1,4,9,1,2,1,2,3,2,1,3,5,1,1,1,1,1,,1,2,2,7,3,1,2,2,1.1686594985212586
679496,2024-09-04T13:09:02Z,2024-09-04T13:50:05Z,3,2,9,7,1,1,3,3,2,,2,2,6,2,3,4,3,1,1,3,3,3,3,2,1,,,1,5,6,4,4,5,3,2,2,2,2,1,1,1,1,1,,2,5,3,1,1,5,5,5,3,1,5,5,,,,,,,,,,3,2,3,3,2,3,2,3,3,3,3,3,1,3,2,2,2,2,,,,,2,1,5,2,5,3,2,2,1,2,3,1,2,1,1,1,5,5,5,3,2,2,3,,,2,3,3,3,3,3,2,3,3,5,3,3,4,5,3,5,1,3,1,1,1,1,3,7,2,4,1,2,3,1,1,4,3,1,1,2,2,2,,2,3,2,6,3,5,2,2,0.7593299189513876
680275,2024-09-05T08:22:56Z,2024-09-05T08:52:29Z,3,1,9,7,1,1,4,2,2,,3,5,3,1,6,3,5,3,3,4,4,3,3,6,6,,,6,6,6,3,3,5,4,2,2,2,2,1,1,1,2,1,,2,5,3,6,6,6,3,6,6,5,5,5,,,,,,,,,,2,2,3,3,1,3,1,3,3,3,3,3,1,3,,,,,3,3,3,3,3,2,1,3,2,3,2,2,3,2,2,2,3,2,3,3,2,2,6,6,6,6,3,,,2,2,3,2,3,2,2,2,5,4,4,3,4,4,3,2,5,2,2,3,,1,1,1,1,4,1,2,3,2,1,2,2,1,3,1,1,2,,2,4,1,3,4,2,2,2,0.22726908541351495
680458,2024-09-04T23:17:05Z,2024-09-04T23:33:31Z,3,1,10,7,1,2,3,2,3,,,,,,,3,4,2,2,4,4,2,2,2,1,,,2,2,2,1,2,5,3,2,2,2,2,2,2,1,2,2,2,5,1,-4,,,,,,,,,,1,2,1,2,5,5,2,5,5,2,2,1,1,1,1,1,1,3,3,3,3,1,3,3,2,3,2,,,,,1,2,2,3,2,2,4,1,2,2,4,1,2,2,3,3,1,1,3,1,1,3,3,,,3,3,3,3,3,3,1,1,4,4,4,2,3,4,2,4,5,5,2,1,2,1,1,2,1,2,2,3,2,1,3,1,3,4,1,1,1,3,2,2,3,3,6,1,1,2,2,1.0595071983472282
682072,2024-09-05T11:53:33Z,2024-09-05T12:29:27Z,1,1,9,7,2,2,4,2,2,,2,5,5,5,3,4,5,2,1,5,5,4,3,,,2,1,1,1,5,1,1,4,5,2,2,2,2,1,1,1,1,1,,5,2,-3,,,,,,,,,,3,4,2,3,5,5,4,4,3,2,3,1,1,3,2,1,3,1,3,1,1,1,3,3,2,1,3,,,,,1,4,4,2,2,4,2,3,3,2,4,2,2,3,4,2,1,1,2,2,2,2,2,,2,2,3,1,3,3,2,1,3,4,4,5,2,3,3,2,4,2,3,2,1,2,1,3,5,2,2,2,2,4,2,1,1,1,1,4,2,2,1,,1,1,1,3,2,2,2,1,1.3672140769979342
682893,2024-09-07T17:47:48Z,2024-09-07T18:22:26Z,1,1,9,7,2,2,3,3,2,,1,2,5,5,2,3,3,2,1,3,3,3,3,,,2,2,6,5,1,3,2,5,1,1,2,2,1,1,,1,2,,,4,2,-2,,,,,,,,,,6,2,1,2,3,6,3,5,5,3,2,2,1,3,2,1,3,1,3,3,3,3,3,,,,,2,2,2,3,3,1,1,4,2,2,4,1,2,1,5,3,2,5,3,2,1,1,3,1,3,3,2,,2,2,1,1,2,3,2,3,2,4,2,2,3,2,3,5,5,5,2,2,1,2,1,3,6,1,3,2,1,6,2,1,2,2,1,3,1,1,2,,2,3,1,3,3,1,2,2,0.18494476550038996
684297,2024-09-05T08:48:13Z,2024-09-05T09:12:54Z,3,1,9,7,2,2,5,2,2,,2,2,1,3,1,5,4,2,3,2,2,3,1,,,1,1,2,6,6,2,2,5,5,2,2,1,2,2,2,1,,1,1,5,3,-2,,,,,,,,,,2,6,6,2,6,6,4,3,3,1,1,3,3,1,3,1,1,1,3,3,3,1,3,,,,,3,3,2,3,3,3,3,3,2,3,1,2,3,3,4,2,3,1,5,5,1,1,5,4,5,6,2,,2,2,2,3,2,2,2,2,2,3,5,4,2,4,4,1,3,3,2,2,1,1,1,3,7,2,4,2,3,2,2,1,1,1,1,1,1,1,1,,1,1,1,6,2,2,2,2,1.5155681575654383
684598,2024-09-05T14:45:38Z,2024-09-05T15:02:46Z,1,1,9,7,2,2,3,4,2,,3,2,1,5,3,2,2,4,3,3,3,4,5,,,3,3,6,6,3,2,1,3,5,1,1,1,2,1,,,,2,,5,2,-3,,,,,,,,,,6,2,3,3,5,4,5,4,3,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,2,3,3,,,,,2,3,3,4,3,3,3,3,4,4,5,3,4,2,3,2,2,2,2,2,2,2,1,3,,2,1,1,2,1,3,3,2,3,5,5,1,2,4,1,1,1,3,1,1,1,1,4,9,3,2,2,2,3,2,1,1,1,1,6,1,1,4,2,2,4,1,2,5,1,2,1,1.2727343873104406
685831,2024-09-06T17:41:38Z,2024-09-06T18:13:11Z,1,1,9,7,1,2,3,2,2,,2,3,1,2,6,4,4,1,2,2,3,4,4,2,2,,,6,6,6,3,2,5,5,2,2,2,2,2,2,1,2,2,2,3,2,-1,,,,,,,,,,6,6,1,1,1,5,5,3,1,1,2,1,1,1,1,1,2,3,3,3,3,3,3,,,,,3,3,3,3,1,2,3,4,2,3,4,1,2,2,4,1,2,4,3,3,2,2,3,3,3,3,2,,3,2,1,1,2,1,2,1,2,5,5,4,2,5,4,3,3,1,4,1,1,1,1,3,5,2,2,2,1,6,2,1,2,2,1,6,10,3,2,,2,4,1,8,4,1,2,3,0.14373830150440636
686190,2024-09-06T20:39:30Z,2024-09-06T20:57:54Z,1,1,9,7,2,2,3,3,1,1,,3,3,5,4,3,5,3,3,3,5,3,3,,,2,2,5,5,5,1,3,5,5,2,2,2,2,2,2,1,2,2,2,3,2,-1,,,,,,,,,,3,3,3,2,5,3,1,3,2,3,3,1,1,1,1,1,1,1,2,3,3,1,1,,,,,3,3,3,3,3,3,3,4,4,3,4,3,2,2,3,4,99,4,3,3,3,3,3,3,3,3,1,1,,3,1,3,3,3,3,3,3,5,5,5,3,5,5,3,5,5,3,2,3,,1,4,9,2,3,2,2,3,1,1,3,3,1,6,1,1,1,,1,1,1,1,1,2,2,1,0.22334771328800315
686406,2024-09-07T09:34:13Z,2024-09-07T11:10:31Z,1,1,9,7,1,2,5,1,2,,2,5,3,3,3,3,5,2,3,4,5,2,3,2,2,,,6,1,6,1,1,5,5,2,2,2,2,2,2,1,2,1,1,4,2,-2,,,,,,,,,,6,2,1,3,4,6,1,5,5,1,1,2,2,3,2,2,2,1,3,3,1,3,3,2,2,1,2,,,,,4,3,3,2,3,3,4,5,2,3,2,2,3,4,4,4,6,6,6,6,6,6,1,1,,3,2,1,2,1,3,3,3,5,5,5,4,5,5,4,3,5,4,2,2,2,1,2,3,1,3,2,2,4,2,1,1,1,1,3,1,1,1,,1,1,1,2,2,3,2,1,1.9148027006996196
686909,2024-09-05T16:24:05Z,2024-09-05T16:31:51Z,1,1,9,7,2,1,4,3,2,,3,2,2,3,2,4,4,2,3,4,4,2,3,,,3,3,2,5,5,5,2,5,3,2,2,1,2,1,1,1,,2,,1,5,4,3,3,3,3,5,6,4,5,5,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,4,3,3,4,3,3,4,3,3,2,3,3,2,3,5,5,1,1,1,1,1,1,1,1,,2,3,3,3,3,1,2,2,5,4,4,99,99,4,2,4,99,3,2,2,2,1,2,4,2,2,1,2,3,2,1,1,1,1,2,1,1,1,,1,1,1,9,2,2,2,3,1.3542555377049004
687565,2024-09-05T10:02:51Z,2024-09-05T10:17:20Z,1,1,9,7,2,1,5,3,1,1,,1,1,5,6,2,1,3,3,4,4,3,3,,,5,3,1,6,6,2,2,5,5,1,2,2,2,1,,1,2,2,,1,5,4,1,6,2,1,1,4,2,6,2,,,,,,,,,,3,2,2,2,1,3,1,3,3,3,3,3,1,3,,,,,2,2,2,2,4,3,3,3,4,3,2,3,2,3,2,2,2,2,3,3,1,1,2,1,4,2,1,1,,2,1,3,2,3,2,1,1,5,5,3,2,3,5,2,5,5,4,2,2,2,1,4,8,2,3,1,2,3,2,1,2,2,1,2,1,1,2,,2,3,3,5,3,2,2,2,1.2041020073053879
688022,2024-09-06T03:48:58Z,2024-09-06T03:58:37Z,1,1,9,7,1,1,4,2,2,,3,5,1,3,1,5,4,3,4,4,4,4,4,2,2,,,1,3,3,2,3,5,5,2,2,2,2,2,2,1,1,1,2,2,5,3,3,2,3,3,3,2,3,5,3,,,,,,,,,,1,1,1,1,1,1,1,3,3,2,2,1,1,1,3,1,3,3,,,,,2,2,3,3,2,3,1,2,2,2,3,2,2,1,4,3,1,1,1,1,3,3,2,,2,3,3,1,3,1,2,3,1,3,4,4,4,3,2,2,2,4,3,2,1,2,1,1,2,1,1,1,1,5,2,1,3,5,1,2,12,3,1,,1,1,1,9,2,1,2,3,0.48220703547667626
688439,2024-09-07T10:55:32Z,2024-09-07T11:13:24Z,1,1,9,7,1,1,3,3,2,,2,3,3,3,4,3,3,2,3,3,3,2,3,2,2,,,1,6,6,2,3,4,1,2,2,2,2,2,1,1,1,2,2,2,3,1,2,1,2,3,3,4,2,4,4,,,,,,,,,,2,2,2,2,2,2,2,2,1,3,2,3,3,1,2,2,2,2,,,,,3,4,4,5,4,5,4,3,2,1,5,4,2,3,5,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,1,2,2,5,5,4,3,5,5,1,3,5,3,1,1,1,1,3,7,2,3,1,1,6,2,1,1,1,1,1,1,1,3,1,1,2,1,99,3,2,1,99,1.5326926258923081
688518,2024-09-07T11:21:03Z,2024-09-07T11:29:09Z,1,1,9,7,2,2,3,2,2,,2,4,3,2,6,3,3,3,3,3,3,3,3,,,1,1,1,1,6,4,2,4,2,2,2,2,2,1,2,1,1,2,,4,2,-2,,,,,,,,,,4,3,2,1,3,3,3,4,1,2,2,2,3,2,2,2,3,1,3,3,3,3,3,,,,,2,3,2,2,4,3,3,4,2,3,5,3,2,2,5,5,3,5,6,6,6,6,6,6,6,6,3,,,3,3,3,2,3,3,3,3,5,5,5,2,5,4,2,4,4,3,1,2,2,1,3,7,1,2,2,1,6,1,1,1,3,1,1,2,2,1,,1,1,1,8,2,1,1,2,0.12160376050359094
690413,2024-09-04T21:25:28Z,2024-09-04T21:35:33Z,1,1,9,7,1,1,3,3,2,,2,2,2,3,6,4,4,3,3,3,3,3,3,1,1,,,6,3,4,5,1,4,1,2,2,2,2,2,1,1,1,1,1,1,5,4,6,2,4,1,5,6,4,5,4,,,,,,,,,,1,1,2,2,1,2,3,2,1,2,3,2,2,3,2,1,2,3,,,,,2,5,5,5,5,5,5,1,1,1,2,5,1,5,5,2,1,1,2,2,2,2,2,,2,2,3,2,3,2,3,2,2,2,3,1,1,2,3,5,5,5,1,2,1,2,1,3,7,2,2,1,1,5,2,1,1,1,1,4,2,2,1,,1,1,1,9,1,1,2,3,1.3391480726229967
